Game_ID,GAME_DATE,Local_team_id,Visitor_team_id,Target_Local_Win,FGpct_diff,FG3apct_diff,FTpct_diff,AST_rate_diff,OREB_rate_diff,DREB_rate_diff,STL_rate_diff,BLK_rate_diff,PF_rate_diff,PTS_rate_diff,WinRate_diff,Standings_WinPct_diff,Standings_Rank_diff,Starters_PlusMinus_diff
21500597,2016-01-15,1610612741,1610612742,0,-0.009500000000000064,0.03284999999999999,-0.015200000000000102,0.008556951804396973,0.05134063092639743,-0.0036724189991017564,-0.007764904780925251,0.033098398600706874,-0.02371087844349956,0.003353691059296393,0.19999999999999996,0.0,0.0,0.0
21500603,2016-01-16,1610612766,1610612749,0,-0.019700000000000106,0.014099999999999946,0.049800000000000066,0.001859588336093565,-0.04753217854424405,0.011855598040328763,-0.010126859348445635,0.02096597817195372,-0.04823952746812857,0.052355028935475056,0.5499999999999999,0.0,0.0,0.0
21500608,2016-01-16,1610612762,1610612747,1,0.020500000000000074,0.03484999999999999,-0.007950000000000124,-0.0012090082682181813,0.015285777943172485,0.023025140440581793,0.0005944882490424158,0.015942530235118525,0.010881322317462777,0.0678076384280395,0.4,0.0,0.0,0.0
21500607,2016-01-16,1610612763,1610612752,1,-0.0005000000000001115,0.02485000000000004,0.036150000000000015,0.020318743066600503,-0.00042020596533168253,-0.0015079994983882017,0.032463518312121326,-0.013877491559387223,-0.0018622228179255018,0.022562972662517833,0.35,0.0,0.0,0.0
21500610,2016-01-17,1610612750,1610612756,1,0.006599999999999995,-0.02560000000000001,-0.0020500000000001073,0.019707748519763063,0.033014419982182464,0.004136871657232644,-0.003269223894293821,0.005379382674554546,-0.009554283536314045,0.02549131411156913,0.1,0.0,0.0,0.0
21500612,2016-01-17,1610612759,1610612742,1,0.0568499999999999,0.07700000000000001,-0.00550000000000006,0.044395777862422936,0.04447428837565284,0.03836387523802742,0.0267321165753035,0.023032829088614037,-0.020361034223353808,0.09712231834484863,0.5,0.0,0.0,0.0
21500618,2016-01-18,1610612763,1610612740,1,-0.0033500000000001307,0.03989999999999988,0.028550000000000075,0.020194127866052097,0.046894917879615194,-0.05880326658593138,0.020505259068849924,0.000809598285299036,-0.006816354891176379,0.04034988778908488,0.44999999999999996,0.0,0.0,0.0
21500617,2016-01-18,1610612764,1610612757,0,0.01254999999999995,0.02690000000000009,0.028549999999999964,0.030498547551606053,-0.042892631956939514,-0.03141850477574826,0.029422501666984346,-0.008122290277473306,-0.04504441650844085,0.010071923266065763,0.15000000000000002,0.0,0.0,0.0
21500625,2016-01-19,1610612748,1610612749,0,0.011800000000000033,-0.027449999999999974,-0.015349999999999975,-0.017309160537260254,-0.012057636851079856,-0.017321281563349,-0.0031362571283794216,0.01817963804564965,-0.04416255529993254,0.054799164637842956,0.45,0.0,0.0,0.0
21500628,2016-01-19,1610612756,1610612754,0,0.009750000000000092,0.03889999999999999,-0.03809999999999991,-0.00043327719294322664,-0.00159631315990294,0.05921919800017639,0.010631275025103151,-0.005045293345260438,0.0005280899646065984,0.021842942870839988,0.04999999999999999,0.0,0.0,0.0
21500631,2016-01-20,1610612751,1610612739,0,0.012699999999999989,-0.008549999999999947,-0.01550000000000007,0.017461944596140894,0.00134937219574921,-0.018978874633052922,0.0012417171843161628,0.001807599667324758,-0.028760564005941874,-0.0454558225396573,-0.25,0.0,0.0,0.0
21500635,2016-01-20,1610612745,1610612765,0,0.028650000000000064,0.03664999999999996,0.06359999999999999,0.037177847982793916,-0.015794945636056462,-0.02110155102463085,0.015240983394365748,0.014222978169083196,0.009786852637102272,0.05526892184355092,0.19999999999999996,0.0,0.0,0.0
