Game_id,Local_team_id,Visitor_team_id,Visitor_WL,Local_WL,Visitor_FgPct,Local_FgPct,Visitor_FG3aPct,Local_FG3aPct,Visitor_FtPct,Local_FtPct,Visitor_AST,Local_AST,Visitor_OREB,Local_OREB,Visitor_DREB,Local_DREB,Visitor_STL,Local_STL,Visitor_BLK,Local_BLK,Visitor_PF,Local_PF,Visitor_PTS,Local_PTS
22400172,1610612738,1610612744,W,L,0.462,0.422,0.412,0.352,0.833,0.81,22,22,15,13,38,34,6,5,5,3,19,18,118,112
22400173,1610612745,1610612759,L,W,0.446,0.563,0.389,0.37,0.75,0.6,20,28,8,11,33,34,6,10,6,5,13,13,100,127
22400174,1610612763,1610612747,L,W,0.441,0.516,0.313,0.5,0.81,0.783,23,28,9,12,28,38,10,5,1,6,18,17,114,131
22400175,1610612740,1610612739,W,L,0.542,0.477,0.486,0.481,0.769,0.893,33,21,12,8,34,25,6,8,10,8,21,14,131,122
22400176,1610612742,1610612741,L,W,0.419,0.484,0.286,0.316,0.652,0.81,25,33,14,9,37,38,8,11,2,4,17,19,99,119
22400177,1610612743,1610612760,L,W,0.44,0.472,0.4,0.421,0.783,0.727,29,34,13,13,34,42,15,8,6,6,28,22,122,124
22400178,1610612756,1610612748,L,W,0.435,0.5,0.382,0.419,0.95,0.722,27,29,13,10,30,36,12,5,3,6,16,14,112,115
22400179,1610612746,1610612755,L,W,0.548,0.569,0.28,0.429,0.579,0.842,19,27,10,8,22,21,10,12,2,1,22,16,98,110
22400180,1610612758,1610612761,L,W,0.489,0.467,0.294,0.286,0.733,0.875,25,26,8,15,26,32,7,7,1,5,23,13,107,122
22400181,1610612741,1610612750,W,L,0.548,0.534,0.421,0.417,1.0,0.667,29,30,10,10,30,22,7,9,4,4,17,20,135,119
22400182,1610612749,1610612762,L,W,0.429,0.512,0.415,0.429,0.944,0.733,24,20,8,11,31,30,5,13,5,3,19,21,100,123
22400183,1610612759,1610612757,L,W,0.477,0.537,0.281,0.41,0.636,0.778,23,35,14,12,27,33,7,9,3,4,14,15,105,118
22400184,1610612766,1610612754,L,W,0.398,0.422,0.31,0.34,0.571,0.833,24,23,7,13,30,43,10,6,4,7,16,16,83,103
22400185,1610612765,1610612737,L,W,0.454,0.512,0.417,0.394,0.783,0.677,30,27,15,11,29,34,12,7,7,8,21,18,121,122
22400186,1610612753,1610612740,L,W,0.381,0.523,0.323,0.25,0.824,0.81,18,28,6,11,25,32,10,9,1,8,19,14,88,115
22400187,1610612738,1610612751,L,W,0.41,0.433,0.263,0.264,0.8,0.842,24,23,12,4,39,35,6,7,3,9,22,15,104,108
22400188,1610612739,1610612744,L,W,0.48,0.541,0.31,0.476,0.714,0.857,32,33,11,9,29,34,14,7,4,7,24,12,117,136
22400189,1610612752,1610612749,L,W,0.434,0.473,0.233,0.304,0.652,0.842,20,35,11,14,30,34,1,7,5,3,16,20,94,116
